customer_id,signup_date,plan,channel,age_group,monthly_fee,churned,tenure_months,churn_date,churn_reason,clv,cohort,signup_month
C0001,2024-04-03 02:40:56.046705,Premium,Paid Ads,25-34,999,0,22,,,21978,2024-04,Apr 2024
C0002,2023-07-30 20:10:36.530442,Basic,Referral,18-24,299,1,9,2024-04-25 20:10:36.530442,Price too high,2691,2023-07,Jul 2023
C0003,2024-01-11 05:35:04.753961,Basic,Email,35-44,299,0,8,,,2392,2024-01,Jan 2024
C0004,2023-06-12 02:45:44.286905,Basic,Organic,25-34,299,0,7,,,2093,2023-06,Jun 2023
C0005,2023-10-14 21:20:16.013344,Basic,Referral,25-34,299,0,15,,,4485,2023-10,Oct 2023
C0006,2023-10-02 03:19:21.968306,Standard,Social Media,25-34,599,0,16,,,9584,2023-10,Oct 2023
C0007,2023-03-18 01:09:39.482902,Standard,Social Media,35-44,599,0,9,,,5391,2023-03,Mar 2023
C0008,2023-12-24 00:25:13.261050,Standard,Referral,25-34,599,0,12,,,7188,2023-12,Dec 2023
C0009,2023-10-13 12:33:01.651376,Standard,Social Media,35-44,599,0,18,,,10782,2023-10,Oct 2023
C0010,2023-05-26 06:23:07.155963,Basic,Paid Ads,35-44,299,0,6,,,1794,2023-05,May 2023
C0011,2023-10-03 12:06:36.330275,Standard,Paid Ads,45-54,599,0,9,,,5391,2023-10,Oct 2023
C0012,2023-06-18 00:50:26.522101,Basic,Social Media,45-54,299,0,21,,,6279,2023-06,Jun 2023
C0013,2024-04-24 23:16:45.838198,Standard,Paid Ads,35-44,599,0,23,,,13777,2024-04,Apr 2024
C0014,2023-09-21 05:01:27.072560,Basic,Organic,35-44,299,0,21,,,6279,2023-09,Sep 2023
C0015,2024-03-06 08:00:24.020016,Premium,Organic,25-34,999,0,8,,,7992,2024-03,Mar 2024
C0016,2023-05-19 10:26:55.346121,Premium,Social Media,35-44,999,0,21,,,20979,2023-05,May 2023
C0017,2023-10-28 02:16:54.845704,Basic,Organic,45-54,299,0,13,,,3887,2023-10,Oct 2023
C0018,2023-12-06 06:11:06.555462,Standard,Referral,25-34,599,0,18,,,10782,2023-12,Dec 2023
C0019,2023-07-15 19:30:58.548790,Premium,Paid Ads,18-24,999,1,2,2023-09-13 19:30:58.548790,Better competitor,1998,2023-07,Jul 2023
C0020,2023-01-25 03:14:33.728106,Standard,Paid Ads,45-54,599,0,9,,,5391,2023-01,Jan 2023
C0021,2023-09-22 13:48:41.434528,Basic,Social Media,25-34,299,1,1,2023-10-22 13:48:41.434528,Poor support,299,2023-09,Sep 2023
C0022,2024-02-12 13:33:04.653878,Standard,Email,35-44,599,1,6,2024-08-10 13:33:04.653878,No longer needed,3594,2024-02,Feb 2024
C0023,2023-05-18 01:39:40.984153,Basic,Referral,25-34,299,0,13,,,3887,2023-05,May 2023
C0024,2024-01-16 16:44:02.201834,Premium,Email,35-44,999,1,9,2024-10-12 16:44:02.201834,Better competitor,8991,2024-01,Jan 2024
C0025,2023-11-18 22:52:44.637197,Premium,Organic,35-44,999,0,9,,,8991,2023-11,Nov 2023
C0026,2023-10-06 16:36:49.841534,Standard,Paid Ads,35-44,599,0,9,,,5391,2023-10,Oct 2023
C0027,2024-05-05 10:38:55.946622,Premium,Email,25-34,999,0,22,,,21978,2024-05,May 2024
C0028,2023-10-22 15:07:57.397831,Basic,Organic,45-54,299,1,2,2023-12-21 15:07:57.397831,Poor support,598,2023-10,Oct 2023
C0029,2023-01-29 16:32:01.601334,Basic,Referral,35-44,299,1,3,2023-04-29 16:32:01.601334,Price too high,897,2023-01,Jan 2023
C0030,2024-02-16 15:54:47.739783,Basic,Organic,25-34,299,1,9,2024-11-12 15:54:47.739783,Poor support,2691,2024-02,Feb 2024
C0031,2024-02-25 07:33:58.698915,Basic,Paid Ads,25-34,299,1,8,2024-10-22 07:33:58.698915,Price too high,2392,2024-02,Feb 2024
C0032,2023-10-25 19:38:10.909090,Premium,Email,35-44,999,0,12,,,11988,2023-10,Oct 2023
C0033,2023-12-10 08:32:49.641367,Standard,Organic,35-44,599,1,2,2024-02-08 08:32:49.641367,Better competitor,1198,2023-12,Dec 2023
C0034,2023-03-11 16:09:12.460383,Basic,Referral,18-24,299,0,21,,,6279,2023-03,Mar 2023
C0035,2023-04-12 13:11:27.572977,Basic,Organic,25-34,299,1,11,2024-03-07 13:11:27.572977,Better competitor,3289,2023-04,Apr 2023
C0036,2024-02-26 16:21:13.060884,Standard,Referral,35-44,599,0,23,,,13777,2024-02,Feb 2024
C0037,2023-12-16 06:37:31.876563,Standard,Paid Ads,25-34,599,0,7,,,4193,2023-12,Dec 2023
C0038,2023-04-05 06:19:30.975813,Standard,Paid Ads,25-34,599,0,23,,,13777,2023-04,Apr 2023
C0039,2023-10-26 17:29:40.483736,Premium,Social Media,25-34,999,0,6,,,5994,2023-10,Oct 2023
C0040,2023-07-17 15:13:57.698081,Basic,Organic,45-54,299,0,12,,,3588,2023-07,Jul 2023
C0041,2024-04-02 15:45:11.259382,Basic,Email,35-44,299,0,11,,,3289,2024-04,Apr 2024
C0042,2023-01-01 21:51:29.574645,Basic,Organic,18-24,299,1,1,2023-01-31 21:51:29.574645,Price too high,299,2023-01,Jan 2023
C0043,2024-03-19 23:52:47.639699,Premium,Email,25-34,999,0,6,,,5994,2024-03,Mar 2024
C0044,2024-02-27 03:16:57.848206,Basic,Organic,35-44,299,1,6,2024-08-25 03:16:57.848206,Better competitor,1794,2024-02,Feb 2024
C0045,2024-03-25 00:06:00.300250,Basic,Organic,35-44,299,1,8,2024-11-20 00:06:00.300250,Price too high,2392,2024-03,Mar 2024
C0046,2023-09-15 17:52:29.624687,Standard,Referral,25-34,599,0,13,,,7787,2023-09,Sep 2023
C0047,2023-08-01 04:57:50.892410,Basic,Paid Ads,35-44,299,0,13,,,3887,2023-08,Aug 2023
C0048,2024-05-22 07:01:33.077564,Standard,Social Media,35-44,599,0,17,,,10183,2024-05,May 2024
